congress_idx,text,King James Bible,American Standard Version,Douay-Rheims Bible,Darby Bible Translation,English Revised Version,Webster Bible Translation,World English Bible,Young's Literal Translation,American King James Version
922369,"More than 60 years ago, in the midst of the great depression--in the shadow of the Second World War, Franklin Roosevelt spoke words that still stir-- and still shine: ``There is a mysterious cycle in human events.","And he shall confirm the covenant with many for one week: and in the midst of the week he shall cause the sacrifice and the oblation to cease, and for the overspreading of abominations he shall make it desolate, even until the consummation, and that determined shall be poured upon the desolate.","And he shall make a firm covenant with many for one week: and in the midst of the week he shall cause the sacrifice and the oblation to cease; and upon the wing of abominations'shall come one that maketh desolate; and even unto the full end, and that determined, shall wrath be poured out upon the desolate.","And he shall confirm the covenant with many, in one week: and in the half of the week the victim and the sacrifice shall fall: and there shall be in the temple the abomination of desolation: and ihe desolation shall continue even to the consummation, and to the end. ","And he shall confirm a covenant with the many for one week; and in the midst of the week he shall cause the sacrifice and the oblation to cease, and because of the protection of abominations there shall be a desolator, even until that the consumption and what is determined shall be poured out upon the desolate.","And he shall make a firm covenant with many for one week: and for the half of the week he shall cause the sacrifice and the oblation to cease; and upon the wing of abominations shall come one that maketh desolate; and even unto the consummation, and that determined, shall wrath be poured out upon the desolator.","And he shall confirm the covenant with many for one week: and in the midst of the week he shall cause the sacrifice and the oblation to cease, and for the overspreading of abominations, he shall make it desolate, even until the consummation, and that determined shall be poured upon the desolate.","He shall make a firm covenant with many for one week: and in the midst of the week he shall cause the sacrifice and the offering to cease; and on the wing of abominations [shall come] one who makes desolate; and even to the full end, and that determined, shall [wrath] be poured out on the desolate.","And he hath strengthened a covenant with many &#8212; one week, and in the midst of the week he causeth sacrifice and present to cease, and by the wing of abominations he is making desolate, even till the consummation, and that which is determined is poured on the desolate one.'","And he shall confirm the covenant with many for one week: and in the middle of the week he shall cause the sacrifice and the oblation to cease, and for the overspreading of abominations he shall make it desolate, even until the consummation, and that determined shall be poured on the desolate."
119130,We know that it is going to help 95 percent of American workers with tax cuts.,"Little children, it is the last time: and as ye have heard that antichrist shall come, even now are there many antichrists; whereby we know that it is the last time.","Little children, it is the last hour: and as ye heard that antichrist cometh, even now have there arisen many antichrists; whereby we know that it is the last hour.","Little children, it is the last hour; and as you have heard that Antichrist cometh, even now there are become many Antichrists: whereby we know that it is the last hour. ","Little children, it is the last hour, and, according as ye have heard that antichrist comes, even now there have come many antichrists, whence we know that it is the last hour.","Little children, it is the last hour: and as ye heard that antichrist cometh, even now have there arisen many antichrists; whereby we know that it is the last hour.","Little children, it is the last time: and as ye have heard that antichrist cometh, even now are there many antichrists; by which we know that it is the last time.","Little children, these are the end times, and as you heard that the Antichrist is coming, even now many antichrists have arisen. By this we know that it is the final hour.","Little youths, it is the last hour; and even as ye heard that the antichrist doth come, even now antichrists have become many &#8212; whence we know that it is the last hour;","Little children, it is the last time: and as you have heard that antichrist shall come, even now are there many antichrists; whereby we know that it is the last time."
1670957,"We ask a special blessing for those in war torn areas of the world, that peace may come to their lands and that people can live together without hate and strife.","According as he hath chosen us in him before the foundation of the world, that we should be holy and without blame before him in love:","even as he chose us in him before the foundation of the world, that we should be holy and without blemish before him in love:","As he chose us in him before the foundation of the world, that we should be holy and unspotted in his sight in charity. ","according as he has chosen us in him before the world's foundation, that we should be holy and blameless before him in love;","even as he chose us in him before the foundation of the world, that we should be holy and without blemish before him in love:","According as he hath chosen us in him, before the foundation of the world, that we should be holy and without blame before him in love:","even as he chose us in him before the foundation of the world, that we would be holy and without blemish before him in love;","according as He did choose us in him before the foundation of the world, for our being holy and unblemished before Him, in love,","According as he has chosen us in him before the foundation of the world, that we should be holy and without blame before him in love:"
586266,This administration has done everything in its power to tie our national well-being to the crooks and tyrants throughout the world who would drag us down all in the name of creating a global economy.,"And whatsoever ye do in word or deed, do all in the name of the Lord Jesus, giving thanks to God and the Father by him.","And whatsoever ye do, in word or in deed, do all in the name of the Lord Jesus, giving thanks to God the Father through him.","All whatsoever you do in word or in work, do all in the name of the Lord Jesus Christ, giving thanks to God and the Father by him. ","And everything, whatever ye may do in word or in deed, do all things in the name of the Lord Jesus, giving thanks to God the Father by him.","And whatsoever ye do, in word or in deed, do all in the name of the Lord Jesus, giving thanks to God the Father through him.","And whatever ye do in word or deed, do all in the name of the Lord Jesus, giving thanks to God and the Father by him.","Whatever you do, in word or in deed, do all in the name of the Lord Jesus, giving thanks to God the Father, through him.","and all, whatever ye may do in word or in work, do all things in the name of the Lord Jesus &#8212; giving thanks to the God and Father, through him."," And whatever you do in word or deed, do all in the name of the Lord Jesus, giving thanks to God and the Father by him."
2163302,"Pursuant to the order of the House of that day, no further amendment to the bill shall be in order except the amendments designated in the order of the House, which may be offered only by the Member designated in the request, or a designee, shall be considered read, shall be debatable for the time specified in the request, equally divided and controlled by the proponent and an opponent, shall not be subject to amendment, and shall not be subject to a demand for a division of the question.","And I will pour upon the house of David, and upon the inhabitants of Jerusalem, the spirit of grace and of supplications: and they shall look upon me whom they have pierced, and they shall mourn for him, as one mourneth for his only son, and shall be in bitterness for him, as one that is in bitterness for his firstborn.","And I will pour upon the house of David, and upon the inhabitants of Jerusalem, the spirit of grace and of supplication; and they shall look unto me whom they have pierced; and they shall mourn for him, as one mourneth for his only son, and shall be in bitterness for him, as one that is in bitterness for his first-born.","And I will pour out upon the house of David, and upon the inhabitants of Jerusalem, the spirit of grace, and of prayers: and they shall look upon me, whom they have pierced: and they shall mourn for him as one mourneth for an only son, and they shall grieve over him, as the manner is to grieve for the death of the firstborn. ","And I will pour upon the house of David and upon the inhabitants of Jerusalem the spirit of grace and of supplications; and they shall look on me whom they pierced, and they shall mourn for him, as one mourneth for an only son, and shall be in bitterness for him, as one that is in bitterness for his firstborn.","And I will pour upon the house of David, and upon the inhabitants of Jerusalem, the spirit of grace and of supplication; and they shall look unto me whom they have pierced: and they shall mourn for him, as one mourneth for his only son, and shall be in bitterness for him, as one that is in bitterness for his firstborn.","And I will pour upon the house of David, and upon the inhabitants of Jerusalem, the spirit of grace and of supplications: and they shall look upon me whom they have pierced, and they shall mourn for him, as one mourneth for his only son, and shall be in bitterness for him, as one that is in bitterness for his first-born.","I will pour on the house of David, and on the inhabitants of Jerusalem, the spirit of grace and of supplication; and they will look to me whom they have pierced; and they shall mourn for him, as one mourns for his only son, and will grieve bitterly for him, as one grieves for his firstborn.","And I have poured on the house of David, And on the inhabitant of Jerusalem, A spirit of grace and supplications, And they have looked unto Me whom they pierced, And they have mourned over it, Like a mourning over the only one, And they have been in bitterness for it, Like a bitterness over the first-born.","And I will pour on the house of David, and on the inhabitants of Jerusalem, the spirit of grace and of supplications: and they shall look on me whom they have pierced, and they shall mourn for him, as one mourns for his only son, and shall be in bitterness for him, as one that is in bitterness for his firstborn."
428320,"The gentleman from New Jersey [Mr. Menendez], a very distinguished friend from the other side of the aisle, has included a very important provision as well.","And if it seem evil unto you to serve the LORD, choose you this day whom ye will serve; whether the gods which your fathers served that were on the other side of the flood, or the gods of the Amorites, in whose land ye dwell: but as for me and my house, we will serve the LORD.","And if it seem evil unto you to serve Jehovah, choose you this day whom ye will serve; whether the gods which your fathers served that were beyond the River, or the gods of the Amorites, in whose land ye dwell: but as for me and my house, we will serve Jehovah.","But if it seem evil to you to serve the Lord, you have your choice: choose this day that which pleaseth you, whom you would rather serve, whether the gods which your fathers served in Mesopotamia, or the gods of the Amorrhites, in whose land you dwell: but as for me and my house we will serve the Lord. ","And if it seem evil unto you to serve Jehovah, choose you this day whom ye will serve; whether the gods whom your fathers that were on the other side of the river served, or the gods of the Amorite, in whose land ye dwell; but as for me and my house, we will serve Jehovah.","And if it seem evil unto you to serve the LORD, choose you this day whom ye will serve; whether the gods which your fathers served that were beyond the River, or the gods of the Amorites, in whose land ye dwell: but as for me and my house, we will serve the LORD.","And if it seemeth evil to you to serve the LORD, choose you this day whom ye will serve, whether the gods which your fathers served that were on the other side of the flood, or the gods of the Amorites in whose land ye dwell: but as for me and my house, we will serve the LORD.","If it seems evil to you to serve Yahweh, choose this day whom you will serve; whether the gods which your fathers served that were beyond the River, or the gods of the Amorites, in whose land you dwell: but as for me and my house, we will serve Yahweh.|","and if wrong in your eyes to serve Jehovah &#8212; choose for you to-day whom ye do serve; &#8212; whether the gods whom your fathers served, which are beyond the River, or the gods of the Amorite in whose land ye are dwelling; and I and my house &#8212; we serve Jehovah.'","And if it seem evil to you to serve the LORD, choose you this day whom you will serve; whether the gods which your fathers served that were on the other side of the flood, or the gods of the Amorites, in whose land you dwell: but as for me and my house, we will serve the LORD."
113316,And we have to say to the rest of the world that we are leaders and not just followers.,"Now when they heard this, they were pricked in their heart, and said unto Peter and to the rest of the apostles, Men and brethren, what shall we do?","Now when they heard this, they were pricked in their heart, and said unto Peter and the rest of the apostles, Brethren, what shall we do?","Now when they had heard these things, they had compunction in their heart, and said to Peter, and to the rest of the apostles: What shall we do, men and brethren? ","And having heard it they were pricked in heart, and said to Peter and the other apostles, What shall we do, brethren?","Now when they heard this, they were pricked in their heart, and said unto Peter and the rest of the apostles, Brethren, what shall we do?","Now when they heard this, they were pricked in their heart, and said to Peter and to the rest of the apostles, Men, brethren, what shall we do?","Now when they heard this, they were cut to the heart, and said to Peter and the rest of the apostles, |Brothers, what shall we do?|","And having heard, they were pricked to the heart; they say also to Peter, and to the rest of the apostles, 'What shall we do, men, brethren?'","Now when they heard this, they were pricked in their heart, and said to Peter and to the rest of the apostles, Men and brothers, what shall we do?"
2024939,"My colleagues on the other side of the aisle, Representative Issa and Walter Jones of North Carolina are bipartisan sponsors for this effort.","And if it seem evil unto you to serve the LORD, choose you this day whom ye will serve; whether the gods which your fathers served that were on the other side of the flood, or the gods of the Amorites, in whose land ye dwell: but as for me and my house, we will serve the LORD.","And if it seem evil unto you to serve Jehovah, choose you this day whom ye will serve; whether the gods which your fathers served that were beyond the River, or the gods of the Amorites, in whose land ye dwell: but as for me and my house, we will serve Jehovah.","But if it seem evil to you to serve the Lord, you have your choice: choose this day that which pleaseth you, whom you would rather serve, whether the gods which your fathers served in Mesopotamia, or the gods of the Amorrhites, in whose land you dwell: but as for me and my house we will serve the Lord. ","And if it seem evil unto you to serve Jehovah, choose you this day whom ye will serve; whether the gods whom your fathers that were on the other side of the river served, or the gods of the Amorite, in whose land ye dwell; but as for me and my house, we will serve Jehovah.","And if it seem evil unto you to serve the LORD, choose you this day whom ye will serve; whether the gods which your fathers served that were beyond the River, or the gods of the Amorites, in whose land ye dwell: but as for me and my house, we will serve the LORD.","And if it seemeth evil to you to serve the LORD, choose you this day whom ye will serve, whether the gods which your fathers served that were on the other side of the flood, or the gods of the Amorites in whose land ye dwell: but as for me and my house, we will serve the LORD.","If it seems evil to you to serve Yahweh, choose this day whom you will serve; whether the gods which your fathers served that were beyond the River, or the gods of the Amorites, in whose land you dwell: but as for me and my house, we will serve Yahweh.|","and if wrong in your eyes to serve Jehovah &#8212; choose for you to-day whom ye do serve; &#8212; whether the gods whom your fathers served, which are beyond the River, or the gods of the Amorite in whose land ye are dwelling; and I and my house &#8212; we serve Jehovah.'","And if it seem evil to you to serve the LORD, choose you this day whom you will serve; whether the gods which your fathers served that were on the other side of the flood, or the gods of the Amorites, in whose land you dwell: but as for me and my house, we will serve the LORD."
2027288,"The worst approach is no plan whatsoever, which is what we have seen by the other side of the aisle, and a lack of a plan that engages in such rhetoric as blame America first, restrict the development of efficient energy resources that are American based, and the worst plan is to make the United States and the citizens of this country even more reliant on those unstable and hostile regimes.","And if it seem evil unto you to serve the LORD, choose you this day whom ye will serve; whether the gods which your fathers served that were on the other side of the flood, or the gods of the Amorites, in whose land ye dwell: but as for me and my house, we will serve the LORD.","And if it seem evil unto you to serve Jehovah, choose you this day whom ye will serve; whether the gods which your fathers served that were beyond the River, or the gods of the Amorites, in whose land ye dwell: but as for me and my house, we will serve Jehovah.","But if it seem evil to you to serve the Lord, you have your choice: choose this day that which pleaseth you, whom you would rather serve, whether the gods which your fathers served in Mesopotamia, or the gods of the Amorrhites, in whose land you dwell: but as for me and my house we will serve the Lord. ","And if it seem evil unto you to serve Jehovah, choose you this day whom ye will serve; whether the gods whom your fathers that were on the other side of the river served, or the gods of the Amorite, in whose land ye dwell; but as for me and my house, we will serve Jehovah.","And if it seem evil unto you to serve the LORD, choose you this day whom ye will serve; whether the gods which your fathers served that were beyond the River, or the gods of the Amorites, in whose land ye dwell: but as for me and my house, we will serve the LORD.","And if it seemeth evil to you to serve the LORD, choose you this day whom ye will serve, whether the gods which your fathers served that were on the other side of the flood, or the gods of the Amorites in whose land ye dwell: but as for me and my house, we will serve the LORD.","If it seems evil to you to serve Yahweh, choose this day whom you will serve; whether the gods which your fathers served that were beyond the River, or the gods of the Amorites, in whose land you dwell: but as for me and my house, we will serve Yahweh.|","and if wrong in your eyes to serve Jehovah &#8212; choose for you to-day whom ye do serve; &#8212; whether the gods whom your fathers served, which are beyond the River, or the gods of the Amorite in whose land ye are dwelling; and I and my house &#8212; we serve Jehovah.'","And if it seem evil to you to serve the LORD, choose you this day whom you will serve; whether the gods which your fathers served that were on the other side of the flood, or the gods of the Amorites, in whose land you dwell: but as for me and my house, we will serve the LORD."
857362,I also want to comment about the other side of the dome.,"And if it seem evil unto you to serve the LORD, choose you this day whom ye will serve; whether the gods which your fathers served that were on the other side of the flood, or the gods of the Amorites, in whose land ye dwell: but as for me and my house, we will serve the LORD.","And if it seem evil unto you to serve Jehovah, choose you this day whom ye will serve; whether the gods which your fathers served that were beyond the River, or the gods of the Amorites, in whose land ye dwell: but as for me and my house, we will serve Jehovah.","But if it seem evil to you to serve the Lord, you have your choice: choose this day that which pleaseth you, whom you would rather serve, whether the gods which your fathers served in Mesopotamia, or the gods of the Amorrhites, in whose land you dwell: but as for me and my house we will serve the Lord. ","And if it seem evil unto you to serve Jehovah, choose you this day whom ye will serve; whether the gods whom your fathers that were on the other side of the river served, or the gods of the Amorite, in whose land ye dwell; but as for me and my house, we will serve Jehovah.","And if it seem evil unto you to serve the LORD, choose you this day whom ye will serve; whether the gods which your fathers served that were beyond the River, or the gods of the Amorites, in whose land ye dwell: but as for me and my house, we will serve the LORD.","And if it seemeth evil to you to serve the LORD, choose you this day whom ye will serve, whether the gods which your fathers served that were on the other side of the flood, or the gods of the Amorites in whose land ye dwell: but as for me and my house, we will serve the LORD.","If it seems evil to you to serve Yahweh, choose this day whom you will serve; whether the gods which your fathers served that were beyond the River, or the gods of the Amorites, in whose land you dwell: but as for me and my house, we will serve Yahweh.|","and if wrong in your eyes to serve Jehovah &#8212; choose for you to-day whom ye do serve; &#8212; whether the gods whom your fathers served, which are beyond the River, or the gods of the Amorite in whose land ye are dwelling; and I and my house &#8212; we serve Jehovah.'","And if it seem evil to you to serve the LORD, choose you this day whom you will serve; whether the gods which your fathers served that were on the other side of the flood, or the gods of the Amorites, in whose land you dwell: but as for me and my house, we will serve the LORD."
652937,"I have one Senator who has come to me, and I think the amendment he has asked that I offer is appropriate, and I will do that.","If any man come to me, and hate not his father, and mother, and wife, and children, and brethren, and sisters, yea, and his own life also, he cannot be my disciple.","If any man cometh unto me, and hateth not his own father, and mother, and wife, and children, and brethren, and sisters, yea, and his own life also, he cannot be my disciple.","If any man come to me, and hate not his father, and mother, and wife, and children, and brethren, and sisters, yea and his own life also, he cannot be my disciple. ","If any man come to me, and shall not hate his own father and mother, and wife, and children, and brothers, and sisters, yea, and his own life too, he cannot be my disciple;","If any man cometh unto me, and hateth not his own father, and mother, and wife, and children, and brethren, and sisters, yea, and his own life also, he cannot be my disciple.","If any man cometh to me, and hateth not his father, and mother, and wife, and children, and brethren, and sisters, yes, and his own life also, he cannot be my disciple.","|If anyone comes to me, and doesn't disregard his own father, mother, wife, children, brothers, and sisters, yes, and his own life also, he can't be my disciple.","'If any one doth come unto me, and doth not hate his own father, and mother, and wife, and children, and brothers, and sisters, and yet even his own life, he is not able to be my disciple;","If any man come to me, and hate not his father, and mother, and wife, and children, and brothers, and sisters, yes, and his own life also, he cannot be my disciple."
1774390,"Mrs. Harris grew up in a family ambience consecrated not only to the insatiable thirst for learning and excellence, but also to the commitment of helping those who could least fend for themselves in their quest for equal treatment under the law.","For unto you it is given in the behalf of Christ, not only to believe on him, but also to suffer for his sake;","because to you it hath been granted in the behalf of Christ, not only to believe on him, but also to suffer in his behalf:","For unto you it is given for Christ, not only to believe in him, but also to suffer for him. ","because to you has been given, as regards Christ, not only the believing on him but the suffering for him also,","because to you it hath been granted in the behalf of Christ, not only to believe on him, but also to suffer in his behalf:","For to you it is given in the behalf of Christ, not only to believe on him, but also to suffer for his sake;","Because it has been granted to you on behalf of Christ, not only to believe in him, but also to suffer on his behalf,","because to you it was granted, on behalf of Christ, not only to believe in him, but also on behalf of him to suffer;","For to you it is given in the behalf of Christ, not only to believe on him, but also to suffer for his sake;"
