Topic,Prevalence,Keys,Name
52,0.00626,NUM nuclear waste site coal energy mining sites mine environmental facility safety doe department facilities cleanup storage miners mountain fuel,EnvironmentalWaste
53,0.0281,NUM amendment order rule house officer chair presiding speaker debate report shall minutes members bill printed read pro may consent,Procedural5
54,0.03672,NUM funding million year bill billion appropriations budget funds fiscal programs fund program money president increase administration request spending committee,FundingAndAppropriations
55,0.01485,veterans military NUM service benefits veteran care women affairs war families members men nation support duty country would served services,VeteransServices
56,0.01732,health care medical services patients hospital mental hospitals access quality home system nursing patient providers rural doctors physicians treatment NUM,Healthcare
57,0.0807,legislation bill act support important today colleagues congress also ensure urge bipartisan rise must help nation provide strong need speaker,Procedural6
58,0.00911,nuclear weapons iran treaty missile united states NUM sanctions defense security threat president would administration russia world agreement missiles national,NuclearWeapons
59,0.01223,security social NUM fund retirement trust benefits pension plan would plans savings system funds benefit years surplus money medicare workers,SocialSecurityAndMedicare
60,0.01082,judge court senate NUM justice nomination circuit judicial judges law nominees president federal judiciary nominee district supreme committee confirmed confirmation,CourtNominations
61,0.02772,day nation war men today world women lives country honor american americans speaker families america freedom memorial many lost flag,MemorializingSoldiers
62,0.02419,NUM new years county NUMth virginia today first state west community city history town anniversary one home many kentucky pennsylvania,States1
63,0.05226,republican vote republicans majority bill house democrats people speaker american side debate floor senate would democratic rule want rules colleagues,RepsAndDems
64,0.01551,justice criminal law attorney case evidence investigation prison general NUM court trial counsel impeachment crime department cases federal would fbi,CriminalJustice
65,0.01743,health care insurance coverage NUM bill americans plan costs affordable people reform would cost plans premiums medical law system obamacare,HealthInsurance
66,0.0124,information internet technology access consumers companies service NUM computer privacy use communications competition services fcc industry public telecommunications television local,TelecommunicationsIT
67,0.01952,john david michael james robert william staff thomas richard scott smith brian joseph paul charles mark mary kevin daniel johnson,Names
68,0.06784,people need country make work get many know time every help want america one working today families sure together day,Unknown2
69,0.03787,people america american nation country world freedom one great americans must today government history every free life right speaker democracy,AmericaFreedomRhetoric
70,0.03936,NUM one would day said could back time years like two old year days went last first came see ago,Days
71,0.02041,united states world countries foreign international nations russia nato europe NUM ukraine president security global economic russian european democracy also,InternationalRelations
72,0.01987,north carolina south dakota iowa state work indiana korea nebraska today hard korean wilson speaker service award recognize rise dedication,States2
73,0.01418,transportation NUM infrastructure highway system air aviation safety airport rail transit faa amtrak traffic airports roads federal nation service projects,Transportation
74,0.01062,housing loan NUM loans home mortgage program families income student affordable homes interest low hud debt would rates public homeowners,HousingPolicy
75,0.00854,israel NUM peace united people jewish state states east world middle armenian holocaust syria palestinian israeli genocide speaker terrorist government,IsraelPalestineMiddleEast
76,0.02488,court constitution law states congress rights constitutional supreme government right power state united NUM decision federal laws would act case,ConstitutionalLaw
77,0.02199,tax NUM taxes income would credit pay families relief code irs percent bill revenue year taxpayers americans family middle working,TaxesAndIncome
78,0.01394,disaster NUM emergency hurricane help louisiana flood people state relief assistance disasters katrina fema natural communities need homes response new,NaturalDisasters
79,0.01407,financial credit bank banks bankruptcy companies NUM market card company institutions street markets investors securities consumer banking stock wall consumers,BanksAndStocks
80,0.00915,china rights human NUM chinese people government taiwan cuba freedom puerto united democracy states rico cuban political regime vietnam communist,ChinaCubaVietnamHumanRights
81,0.03254,department information report commission NUM office agency government agencies congress general committee federal public oversight secretary management administration review process,AdministrativeState
82,0.03439,president administration NUM bush clinton house said white obama secretary would congress reagan american senate united vice office states made,PresidentialAdministrations
83,0.01105,energy power renewable fuel electricity NUM new coal wind gas use ethanol clean efficiency fuels oil electric solar production technologies,EnergyPolicy
84,0.11354,think going would people say one want know get way make time said fact issue let come things country something,Unknown3
85,0.03118,house congress speaker members NUM congressional representatives district member congressman representative united washington states NUMth capitol office caucus committee constituents,USHouse
86,0.02332,NUM committee section act shall may house chairman title rules members report provision member provisions rule subcommittee authority record congress,Procedural7
87,0.01908,district NUM city illinois service states united columbia postal office kansas missouri chicago state maryland post mayor new virginia building,States
88,0.01154,farmers farm agriculture agricultural program NUM food producers rural dairy crop family farmer prices price market ranchers farms production bill,Agriculture
89,0.01737,small business businesses NUM company companies employees owners owned sba jobs new economy capital economic commerce chamber help firms industry,SmallBusinesses
90,0.0256,NUM years community speaker family life county served school today honor rise service mrs georgia many member wife children ohio,HonoringCommunityService
91,0.04711,NUM consent ask unanimous senate president committee printed record session meet consideration hearing authorized proceed today following business time morning,Procedural8
92,0.0182,rights black african american americans NUM civil women history discrimination king justice nation racial equal first people equality white race,BlackCivilRights
93,0.00936,women abortion life woman health abortions birth NUM procedure baby family child pregnancy medical mother right would bill planning unborn,Abortion
94,0.01378,texas NUM election voting vote state houston elections lee jackson voters voter states right johnson ballot democracy rights votes county,StateVoting
95,0.07321,going people NUM get want say know one think said money let back would like things right country got lot,Unknown4
96,0.01603,workers NUM employees labor wage work minimum pay working union employers time worker job employee wages women employer act employment,LaborAndWages
97,0.00368,NUM requesting scout scouts entity project boy eagle name account member speaker description troop address girl legal request america number,BoyOrGirlScouts
98,0.06316,amendment would chairman support bill vote colleagues time urge offered rise language amendments oppose balance opposition make simply think believe,Procedural9
99,0.0314,family life one father man young would mother children years many wife son time friends love always never old said,Family
