,verse,count,proportion
570,luke 1:37,115,0.00035223454532646014
1741,james 1:13,115,0.00035223454532646014
2574,acts 4:13,114,0.00034917163623666487
274,matthew 22:37,114,0.00034917163623666487
3651,revelation 21:4,114,0.00034917163623666487
823,1 samuel 16:7,114,0.00034917163623666487
2761,1 john 5:4,114,0.00034917163623666487
128,romans 15:13,113,0.00034610872714686955
1909,acts 17:11,113,0.00034610872714686955
410,john 1:3,113,0.00034610872714686955
2519,luke 12:15,113,0.00034610872714686955
1509,luke 4:18,112,0.0003430458180570742
1835,philippians 2:13,112,0.0003430458180570742
911,isaiah 26:3,112,0.0003430458180570742
659,romans 12:10,112,0.0003430458180570742
482,1 corinthians 1:18,112,0.0003430458180570742
868,1 peter 3:18,111,0.00033998290896727895
1008,isaiah 6:5,111,0.00033998290896727895
708,luke 2:14,111,0.00033998290896727895
3420,acts 2:4,110,0.00033691999987748363
1369,1 peter 2:2,110,0.00033691999987748363
1830,proverbs 29:18,110,0.00033691999987748363
671,matthew 5:48,110,0.00033691999987748363
2070,ephesians 6:18,109,0.0003338570907876883
1041,matthew 5:44,109,0.0003338570907876883
1612,galatians 6:14,109,0.0003338570907876883
268,romans 15:4,109,0.0003338570907876883
144,revelation 2:10,108,0.00033079418169789304
2346,john 3:18,108,0.00033079418169789304
1839,philippians 1:21,108,0.00033079418169789304
1800,john 16:8,108,0.00033079418169789304
3221,john 14:1,108,0.00033079418169789304
609,1 john 3:16,107,0.0003277312726080977
1803,hebrews 13:4,107,0.0003277312726080977
333,ephesians 2:1,106,0.0003246683635183024
1526,matthew 10:28,106,0.0003246683635183024
1958,philippians 3:20,106,0.0003246683635183024
375,matthew 25:41,106,0.0003246683635183024
1633,1 timothy 1:15,106,0.0003246683635183024
129,1 corinthians 2:9,106,0.0003246683635183024
84,john 14:16,106,0.0003246683635183024
49,mark 1:35,106,0.0003246683635183024
569,matthew 5:14,106,0.0003246683635183024
473,1 john 1:8,105,0.0003216054544285071
3311,1 thessalonians 5:18,105,0.0003216054544285071
1780,matthew 7:21,105,0.0003216054544285071
505,romans 2:4,105,0.0003216054544285071
1079,romans 8:16,105,0.0003216054544285071
2922,genesis 6:5,105,0.0003216054544285071
3861,john 1:18,105,0.0003216054544285071
3207,proverbs 28:13,104,0.0003185425453387118
2531,1 corinthians 15:58,104,0.0003185425453387118
2383,titus 2:14,104,0.0003185425453387118
2782,1 john 4:10,104,0.0003185425453387118
2092,colossians 3:13,104,0.0003185425453387118
1492,2 corinthians 6:2,104,0.0003185425453387118
2185,galatians 3:28,104,0.0003185425453387118
453,romans 8:15,104,0.0003185425453387118
2727,psalm 23:4,103,0.0003154796362489165
957,philippians 3:10,103,0.0003154796362489165
2777,luke 9:62,103,0.0003154796362489165
481,1 john 2:15,103,0.0003154796362489165
1252,romans 1:20,102,0.0003124167271591212
932,james 4:10,102,0.0003124167271591212
103,proverbs 16:18,102,0.0003124167271591212
876,ephesians 4:15,102,0.0003124167271591212
96,psalm 37:4,102,0.0003124167271591212
2605,psalm 19:1,101,0.0003093538180693259
658,ephesians 4:29,101,0.0003093538180693259
2860,isaiah 41:10,101,0.0003093538180693259
674,matthew 5:13,101,0.0003093538180693259
1207,matthew 11:29,100,0.00030629090897953056
102,1 john 2:16,100,0.00030629090897953056
1115,psalm 46:1,100,0.00030629090897953056
793,john 1:11,100,0.00030629090897953056
744,matthew 18:20,100,0.00030629090897953056
73,psalm 66:18,100,0.00030629090897953056
2123,1 corinthians 2:14,99,0.0003032279998897353
182,matthew 26:39,99,0.0003032279998897353
1200,galatians 6:10,99,0.0003032279998897353
1828,john 14:2,99,0.0003032279998897353
2526,2 corinthians 5:10,99,0.0003032279998897353
4681,matthew 17:20,99,0.0003032279998897353
434,1 peter 1:23,99,0.0003032279998897353
2231,hebrews 3:13,99,0.0003032279998897353
1579,acts 1:11,99,0.0003032279998897353
1373,2 timothy 4:2,99,0.0003032279998897353
1392,jeremiah 29:13,99,0.0003032279998897353
1186,colossians 3:15,98,0.00030016509079993996
1859,colossians 1:13,98,0.00030016509079993996
1895,2 corinthians 8:9,98,0.00030016509079993996
4557,luke 11:13,98,0.00030016509079993996
33,romans 8:32,98,0.00030016509079993996
1707,matthew 16:24,98,0.00030016509079993996
630,luke 1:35,97,0.00029710218171014464
960,matthew 5:3,97,0.00029710218171014464
1234,john 20:31,97,0.00029710218171014464
1168,john 15:8,97,0.00029710218171014464
256,ephesians 6:4,97,0.00029710218171014464
646,psalm 51:5,96,0.00029403927262034937
433,luke 13:3,96,0.00029403927262034937
1002,malachi 3:6,96,0.00029403927262034937
134,philippians 2:8,96,0.00029403927262034937
5808,revelation 22:17,95,0.00029097636353055405
21,ephesians 1:3,95,0.00029097636353055405
1988,john 12:32,95,0.00029097636353055405
54,1 peter 3:7,95,0.00029097636353055405
1323,proverbs 1:7,95,0.00029097636353055405
461,revelation 12:11,95,0.00029097636353055405
441,luke 6:46,95,0.00029097636353055405
3768,1 john 4:18,94,0.0002879134544407587
5729,matthew 5:8,94,0.0002879134544407587
81,acts 20:35,94,0.0002879134544407587
269,2 timothy 3:12,94,0.0002879134544407587
468,acts 4:31,94,0.0002879134544407587
3145,1 john 2:1,94,0.0002879134544407587
504,james 2:10,94,0.0002879134544407587
458,ephesians 1:4,94,0.0002879134544407587
2083,2 peter 3:18,94,0.0002879134544407587
962,matthew 5:9,94,0.0002879134544407587
942,romans 5:6,94,0.0002879134544407587
1711,matthew 6:21,94,0.0002879134544407587
1636,acts 22:16,93,0.00028485054535096346
638,ephesians 4:30,93,0.00028485054535096346
3400,2 corinthians 5:7,93,0.00028485054535096346
2746,matthew 27:46,93,0.00028485054535096346
1599,jeremiah 1:5,93,0.00028485054535096346
747,john 14:23,92,0.00028178763626116813
1607,matthew 1:23,92,0.00028178763626116813
891,mark 16:16,92,0.00028178763626116813
2879,psalm 23:1,92,0.00028178763626116813
1608,john 10:30,92,0.00028178763626116813
406,john 8:58,92,0.00028178763626116813
3524,2 timothy 4:7,92,0.00028178763626116813
1094,proverbs 18:21,92,0.00028178763626116813
1982,john 3:19,92,0.00028178763626116813
3619,proverbs 23:7,92,0.00028178763626116813
2726,romans 5:10,91,0.0002787247271713728
398,1 timothy 6:10,91,0.0002787247271713728
2089,zechariah 9:9,91,0.0002787247271713728
1213,isaiah 53:7,91,0.0002787247271713728
131,1 peter 4:10,91,0.0002787247271713728
551,mark 12:30,91,0.0002787247271713728
1852,john 10:9,91,0.0002787247271713728
2689,john 6:63,90,0.00027566181808157754
1836,romans 8:14,90,0.00027566181808157754
78,luke 2:10,90,0.00027566181808157754
36,john 20:19,90,0.00027566181808157754
1761,matthew 5:45,90,0.00027566181808157754
2741,john 5:39,90,0.00027566181808157754
220,colossians 2:9,89,0.0002725989089917822
1270,colossians 1:15,89,0.0002725989089917822
1821,1 peter 5:5,88,0.0002695359999019869
1334,john 15:26,88,0.0002695359999019869
2749,luke 2:52,88,0.0002695359999019869
19,2 corinthians 13:5,88,0.0002695359999019869
3217,matthew 19:26,87,0.0002664730908121916
856,john 15:12,87,0.0002664730908121916
689,titus 1:2,87,0.0002664730908121916
3082,ephesians 5:21,87,0.0002664730908121916
1286,john 17:4,87,0.0002664730908121916
385,revelation 21:8,87,0.0002664730908121916
870,acts 5:29,87,0.0002664730908121916
739,1 john 5:13,86,0.0002634101817223963
741,john 4:14,86,0.0002634101817223963
3580,john 3:5,86,0.0002634101817223963
3252,isaiah 53:3,86,0.0002634101817223963
985,jeremiah 33:3,86,0.0002634101817223963
1518,1 peter 1:3,86,0.0002634101817223963
75,luke 18:1,86,0.0002634101817223963
4439,luke 23:46,86,0.0002634101817223963
1642,1 john 2:2,86,0.0002634101817223963
2372,romans 3:24,86,0.0002634101817223963
151,1 timothy 2:5,85,0.000260347272632601
383,genesis 3:6,85,0.000260347272632601
813,psalm 51:17,85,0.000260347272632601
1535,matthew 16:26,85,0.000260347272632601
1247,romans 8:11,85,0.000260347272632601
530,proverbs 15:1,85,0.000260347272632601
349,exodus 20:3,85,0.000260347272632601
1957,zephaniah 2:10,85,0.000260347272632601
874,romans 12:18,85,0.000260347272632601
892,matthew 4:19,84,0.0002572843635428057
115,mark 8:34,84,0.0002572843635428057
862,john 8:34,84,0.0002572843635428057
896,1 corinthians 12:13,84,0.0002572843635428057
2341,psalm 24:1,84,0.0002572843635428057
593,john 10:28,84,0.0002572843635428057
291,james 1:26,84,0.0002572843635428057
4323,john 14:3,84,0.0002572843635428057
966,luke 16:10,84,0.0002572843635428057
2791,2 timothy 1:12,84,0.0002572843635428057
2397,john 4:34,83,0.0002542214544530104
631,luke 2:11,83,0.0002542214544530104
208,hebrews 2:14,83,0.0002542214544530104
2342,john 4:23,83,0.0002542214544530104
905,hebrews 12:15,83,0.0002542214544530104
2496,matthew 4:17,83,0.0002542214544530104
1631,galatians 3:27,82,0.00025115854536321506
3057,matthew 6:9,82,0.00025115854536321506
3273,ephesians 1:13,82,0.00025115854536321506
527,psalm 127:1,82,0.00025115854536321506
1471,james 1:15,81,0.0002480956362734198
2240,mark 9:23,81,0.0002480956362734198
3066,colossians 3:23,81,0.0002480956362734198
335,john 16:7,81,0.0002480956362734198
894,colossians 1:18,80,0.00024503272718362447
243,1 peter 1:16,80,0.00024503272718362447
130,luke 2:7,80,0.00024503272718362447
4659,matthew 5:17,80,0.00024503272718362447
5134,luke 14:26,80,0.00024503272718362447
358,john 12:31,80,0.00024503272718362447
1045,james 1:21,80,0.00024503272718362447
106,exodus 3:14,80,0.00024503272718362447
4673,john 1:4,80,0.00024503272718362447
1768,proverbs 27:17,80,0.00024503272718362447
9,titus 2:11,80,0.00024503272718362447
415,1 corinthians 10:12,79,0.00024196981809382914
4361,philippians 3:8,79,0.00024196981809382914
1829,john 15:4,79,0.00024196981809382914
2523,1 peter 2:21,79,0.00024196981809382914
1907,acts 2:46,79,0.00024196981809382914
1364,matthew 24:35,79,0.00024196981809382914
4005,romans 10:14,79,0.00024196981809382914
1542,1 john 4:16,78,0.00023890690900403385
2889,2 peter 1:3,78,0.00023890690900403385
567,matthew 6:12,78,0.00023890690900403385
438,philippians 2:12,78,0.00023890690900403385
1025,john 7:37,78,0.00023890690900403385
101,acts 20:24,78,0.00023890690900403385
3107,joshua 1:9,78,0.00023890690900403385
1569,1 corinthians 15:33,78,0.00023890690900403385
1951,1 corinthians 3:16,78,0.00023890690900403385
286,psalm 51:10,78,0.00023890690900403385
1923,psalm 103:12,78,0.00023890690900403385
139,ephesians 4:11,77,0.00023584399991423855
5079,acts 1:4,77,0.00023584399991423855
3012,matthew 16:16,77,0.00023584399991423855
1708,2 corinthians 7:10,77,0.00023584399991423855
832,isaiah 55:11,77,0.00023584399991423855
4266,2 corinthians 10:5,77,0.00023584399991423855
276,job 1:21,77,0.00023584399991423855
431,mark 1:15,76,0.00023278109082444323
4859,matthew 12:34,76,0.00023278109082444323
690,numbers 23:19,76,0.00023278109082444323
3101,2 timothy 4:8,76,0.00023278109082444323
2118,genesis 1:2,76,0.00023278109082444323
967,proverbs 18:24,76,0.00023278109082444323
545,philippians 2:4,76,0.00023278109082444323
389,genesis 1:31,76,0.00023278109082444323
1950,john 15:15,76,0.00023278109082444323
396,psalm 119:9,76,0.00023278109082444323
1117,romans 14:17,75,0.00022971818173464793
1249,acts 11:26,75,0.00022971818173464793
29,romans 6:6,75,0.00022971818173464793
1314,1 john 1:5,75,0.00022971818173464793
2706,hebrews 4:13,75,0.00022971818173464793
3952,2 peter 1:4,75,0.00022971818173464793
1218,genesis 12:3,75,0.00022971818173464793
4709,colossians 2:15,75,0.00022971818173464793
1619,revelation 12:10,75,0.00022971818173464793
709,matthew 25:40,74,0.00022665527264485264
3552,psalm 34:8,74,0.00022665527264485264
4553,matthew 24:14,74,0.00022665527264485264
4396,matthew 24:36,74,0.00022665527264485264
4118,zephaniah 6:12,74,0.00022665527264485264
4812,acts 17:28,74,0.00022665527264485264
554,matthew 6:10,74,0.00022665527264485264
223,philippians 3:14,74,0.00022665527264485264
2847,proverbs 9:10,74,0.00022665527264485264
360,genesis 3:1,74,0.00022665527264485264
951,2 peter 3:10,74,0.00022665527264485264
1725,exodus 20:12,74,0.00022665527264485264
1445,john 4:35,74,0.00022665527264485264
2206,2 corinthians 9:7,74,0.00022665527264485264
323,nehemiah 8:10,74,0.00022665527264485264
2214,matthew 9:36,73,0.0002235923635550573
3571,psalm 84:11,73,0.0002235923635550573
4762,acts 2:23,73,0.0002235923635550573
2962,luke 1:38,73,0.0002235923635550573
1165,romans 7:18,73,0.0002235923635550573
2103,2 timothy 2:2,73,0.0002235923635550573
663,1 peter 1:22,72,0.00022052945446526202
1625,romans 3:25,72,0.00022052945446526202
662,hebrews 10:24,72,0.00022052945446526202
3557,acts 17:30,72,0.00022052945446526202
1209,1 peter 2:11,72,0.00022052945446526202
774,hebrews 9:14,72,0.00022052945446526202
3656,mark 8:36,72,0.00022052945446526202
1069,1 corinthians 6:20,72,0.00022052945446526202
5066,acts 1:3,72,0.00022052945446526202
2828,1 john 4:20,72,0.00022052945446526202
30,romans 6:14,72,0.00022052945446526202
1311,2 corinthians 5:20,72,0.00022052945446526202
601,colossians 1:20,72,0.00022052945446526202
944,romans 10:10,71,0.00021746654537546672
1012,colossians 3:12,71,0.00021746654537546672
1505,john 3:30,71,0.00021746654537546672
60,mark 11:25,71,0.00021746654537546672
2563,hebrews 10:23,71,0.00021746654537546672
2678,1 corinthians 13:12,71,0.00021746654537546672
120,john 20:28,71,0.00021746654537546672
5044,john 19:28,71,0.00021746654537546672
789,james 3:17,71,0.00021746654537546672
1937,mark 11:24,71,0.00021746654537546672
523,1 peter 2:5,71,0.00021746654537546672
1774,genesis 3:8,71,0.00021746654537546672
1637,james 2:17,71,0.00021746654537546672
5695,john 15:20,71,0.00021746654537546672
7,2 corinthians 9:8,70,0.0002144036362856714
4239,1 john 5:14,70,0.0002144036362856714
3499,genesis 1:28,70,0.0002144036362856714
2976,psalm 14:1,70,0.0002144036362856714
249,matthew 3:17,70,0.0002144036362856714
4389,acts 20:7,70,0.0002144036362856714
52,romans 8:34,70,0.0002144036362856714
465,romans 5:20,70,0.0002144036362856714
1179,1 john 3:14,70,0.0002144036362856714
1178,1 john 5:3,70,0.0002144036362856714
1206,matthew 5:5,69,0.0002113407271958761
664,1 peter 4:8,69,0.0002113407271958761
2179,james 2:26,69,0.0002113407271958761
961,matthew 5:4,69,0.0002113407271958761
2513,1 john 4:1,69,0.0002113407271958761
577,romans 3:20,69,0.0002113407271958761
701,2 peter 1:21,69,0.0002113407271958761
3196,isaiah 6:8,69,0.0002113407271958761
783,colossians 1:10,69,0.0002113407271958761
4741,galatians 3:26,69,0.0002113407271958761
861,1 samuel 15:22,69,0.0002113407271958761
4358,john 7:38,69,0.0002113407271958761
2852,philippians 2:7,69,0.0002113407271958761
1529,colossians 3:5,69,0.0002113407271958761
2401,colossians 1:27,69,0.0002113407271958761
2441,isaiah 55:8,68,0.0002082778181060808
1198,romans 12:9,68,0.0002082778181060808
1806,romans 6:13,68,0.0002082778181060808
724,james 1:14,68,0.0002082778181060808
381,john 5:19,68,0.0002082778181060808
2077,matthew 26:41,68,0.0002082778181060808
2074,galatians 4:6,68,0.0002082778181060808
1000,romans 13:1,68,0.0002082778181060808
575,matthew 7:12,68,0.0002082778181060808
1949,john 15:1,68,0.0002082778181060808
3702,2 chronicles 16:9,68,0.0002082778181060808
3076,romans 12:19,68,0.0002082778181060808
2466,matthew 7:13,68,0.0002082778181060808
877,genesis 2:15,67,0.00020521490901628548
2325,amos 3:3,67,0.00020521490901628548
363,1 john 3:4,67,0.00020521490901628548
3123,hosea 4:6,67,0.00020521490901628548
4277,colossians 3:2,67,0.00020521490901628548
516,galatians 5:17,67,0.00020521490901628548
2371,john 1:17,67,0.00020521490901628548
2156,matthew 6:6,67,0.00020521490901628548
3029,psalm 19:14,67,0.00020521490901628548
1396,1 thessalonians 5:8,66,0.00020215199992649018
5864,ecclesiastes 3:11,66,0.00020215199992649018
2420,1 peter 5:10,66,0.00020215199992649018
1618,romans 1:21,66,0.00020215199992649018
3617,1 john 2:28,66,0.00020215199992649018
3170,acts 13:22,66,0.00020215199992649018
2099,philippians 3:13,66,0.00020215199992649018
4220,luke 10:19,66,0.00020215199992649018
5349,acts 14:22,66,0.00020215199992649018
6155,ezekiel 36:26,65,0.0001990890908366949
998,2 corinthians 5:8,65,0.0001990890908366949
2965,matthew 23:37,65,0.0001990890908366949
1727,1 timothy 5:8,65,0.0001990890908366949
374,revelation 20:10,65,0.0001990890908366949
2751,john 8:24,65,0.0001990890908366949
386,hebrews 2:9,65,0.0001990890908366949
4216,colossians 3:1,65,0.0001990890908366949
1635,acts 2:37,65,0.0001990890908366949
69,colossians 4:2,65,0.0001990890908366949
4858,zephaniah 2:8,64,0.00019602618174689956
242,mark 10:21,64,0.00019602618174689956
2439,jeremiah 31:3,64,0.00019602618174689956
1736,john 20:29,64,0.00019602618174689956
2759,romans 1:18,64,0.00019602618174689956
366,revelation 1:7,64,0.00019602618174689956
161,john 9:4,64,0.00019602618174689956
4241,matthew 5:20,64,0.00019602618174689956
3643,romans 4:25,64,0.00019602618174689956
521,mark 6:3,64,0.00019602618174689956
1816,romans 15:7,64,0.00019602618174689956
411,colossians 1:17,64,0.00019602618174689956
3353,1 corinthians 11:1,63,0.00019296327265710427
799,1 peter 2:12,63,0.00019296327265710427
2654,revelation 4:11,63,0.00019296327265710427
5012,daniel 9:27,63,0.00019296327265710427
3741,leviticus 19:18,63,0.00019296327265710427
660,romans 13:8,63,0.00019296327265710427
3088,isaiah 54:17,63,0.00019296327265710427
1712,psalm 30:5,63,0.00019296327265710427
2840,acts 9:31,63,0.00019296327265710427
4023,john 6:38,62,0.00018990036356730897
