Hwy. 5 Milan, Missouri 63556
1100 E. Fairfield Rd. High Point, North Carolina 27263
105 presidential blvd  paterson, New Jersey 07522
416 S Franklin Rd Mt. Airy, North Carolina 27030
Fordes Road Jarvisburg, North Carolina 27949
US R 52 PO Box 265 Gilbert, West Virginia 25621
P.O. Box 51 Mabscott, West Virginia 25871
95 Prospect St Midland Park, New Jersey 07432
PO Box 950 Elkins, West Virginia 26241
N/A Crosby, Texas 77532
Box 8 Rochester, Wisconsin 53167
15 Broad Staten Island, New York 10304
PO Box 14245 Anderson, South Carolina 29624
Box 638 Bagley, Minnesota 56621
South Thompson Street Iowa, Louisiana 70647
3135 Washington Blvd. Huntington, West Virginia 25705
North Clifton RD Frederick, Maryland 21769
1843 St. John Church Road Patrick, South Carolina 29584
Po Box 3381 Riverview, Florida 33568
527 South Old Shore Rd. Galloway, New Jersey 08205
County Road 5011 Baldwyn, Mississippi 38829
Westmeade Dr. Decatur, Alabama 35603
same same, Missouri 64501
P.O.Box 26969 St Louis, Missouri 63118
302 Patterson Street China Grove, North Carolina 28023
4036 Old Concord-Salisbury Rd. Kannapolis, North Carolina 28083
1040 Donna Ct Baldwin, New York 11510
104 Santee Circle Union, South Carolina 29271
3800 Flat Rock Church Road Hamptonville, North Carolina 27020
Diego Silang,Prk4,Tacurong City  Tacurong City, California 9800
HHC 1-8 CAV, 1CD Ft Hood, Texas 76544
W156N7616 Pilgrim Rd. Menomonee Falls, Wisconsin 53051
N/A Orting, Washington 98374
10255 old concord rd china grove, North Carolina 28023
State Road 43 Bedford, Virginia 24523
PO  Box 4071 Brianerd, Minnesota 56401
PO Box 759 Sneads Ferry, North Carolina 28460
690 Hester Store Rd. Easley, South Carolina 29640
307 NC Hwy 100 Gibsonville, North Carolina 27249
South Memorial Drive Tulsa, Oklahoma 74133
6120 Bay Parkway Brooklyn, New York 11204-2569
92 - 102 Sout 6th Street Newark, New Jersey 7107
rt3 box 167y  seminole, Oklahoma 74868
7407 Yarborough Rd. Mebane, North Carolina 27302
213 N. Court Street Canastota, New York 13032
24 Main St. Phoenicia, New York 12464
#23 5th Ave S.E. Conrad, Montana 59425
P. O. Box 23907 Houston, Texas 77228-3907
Fort Sam Houston San Antonio, Texas 78234
same Vandalia, Ohio 45377
180 Wingo Heights Rd Spartanburg, South Carolina 29303
Main Street Statesville, Tennessee 37184
Third street Lilbourn, Missouri 24839
PO Box 26569 Greenville, South Carolina 29616
5421 Six Forks Rd Raleigh, North Carolina 27609
110 E First St Corning, New York 14830
P O Box 568, Church St Trinity, Texas 75862
26753 Burleson rd ALBEMARLE, North Carolina 28001
1115 Centre  Newton , Massachusetts 2459
426 Second St. Madison, West Virginia 25130
Abiff Rd. Burns, Tennessee 37029
Hwy 32 Long Lane, Missouri 65590
712 Hatcher Ct. Dillon, South Carolina 29536
P. O. Box 231 Plano, Illinois 60545
210 Church Rd Havelock, North Carolina 28532
235 Pearl St. Manchester, New Hampshire 03104
150 Main Street South Berwick, Maine 3906
7700 Lawyers Road Charlotte, North Carolina 28227
87 Lowell Street Rochester, New Hampshire 03867
65 Rockley Rd Morgantown, West Virginia 26508
6002-A West Broad St. Richmond, Virginia 23230
P O Box 4917 Mooresville, North Carolina 28117
688 Tonawanda St. Buffalo, New York 14207
201 Maple Ave. Oak Hill, West Virginia 25901
139 Mill Rock Road East Old Saybrook, Connecticut 6475
One Civic Center Plaza Huntington, West Virginia 25701
P.O. Box 98 Paw Creek, North Carolina 28130
16 W. 27th St. Bayonne, New Jersey 07002
PO BOX 64 Owensboro, Kentucky 42302
po box 433 Dunseith, North Dakota 58329
PO Box 484 Dallas, North Carolina 28034
322 W. Grand Artesia, New Mexico 88210
Polk Street Conway, Arkansas 72032
17 Cabot Place Iselin, New Jersey 08830
Cor. High St. and Buckwheat Rd. Franklin, New Jersey 07416
Hwy 328 Crab Orchard, Kentucky 40419
P.O.Box 11  White Springs, Florida 32096
Owatonna Seventh Day Advetist Owatonna, Minnesota 55060
201 Brown St.  Penn Yan, New York 14527
102-35 89TH RICHMOND HILL, New York 11418
New Hope Rd. Gloster, Mississippi 39638
4112 Garland Drive Raleigh, North Carolina 27606
Highway 84 West Evergreen, Alabama 36401
100 s. Avenue C Portales, New Mexico 88130
PMB 293, 835 West Warner Gilbert, Arizona 85233
- -, New York -
Courtyard Marriott; 5700 Greenwich Road Norfolk, Virginia 23462
post office box 331 waterproof , Louisiana 71375
PO Box 725 Mission, South Dakota 57555
Lebanon Full Gospel Church of God Lebanon, Ohio 54036
5180 Bethune Rd Kersahw, South Carolina 29067
240 Seaboard Ave Johnsonville, South Carolina 29555
P.O. BOX 15 CLARA, Mississippi 39324
11120 SW Hwy 484 Dunnellon, North Carolina 34442
6708 Two Notch Rd Columbia, South Carolina 29223
312 East Main Street Morven, North Carolina 28119
700 E. Landis Ave Vineland, New Jersey 08360
evangelismhelp@gmail.com Pittsburgh, Pennsylvania 15239
423 Valley Drive Syracuse, New York 13207
2815 Oakland Ave New Bern, North Carolina 28560
51 Everett Drive Princeton Jct., New Jersey 8550
3026 Camp Creek Rd Lancaster, South Carolina 29720
256 Quarter Mile Rd. Murphy, North Carolina 28906
14 Rhode Island Ave Newport, Rhode Island 2842
155-08 SOUTH ROAD JAMAICA, New York 11433
4201 Altizer Avenue Huntington, West Virginia 25705
6930FM275 POINT, Texas 75472
po box 18 wilson, Texas 79381
P.O. Box103 Grand Junction, Tennessee 38039
PO Box 23 Datil, New Mexico 87821
4301Old Lakeport Road Sioux City, Iowa 51104
Mooresville RD Mooresville, Alabama 35649
44 PINE TREE RD VINEYARD HAVEN, Massachusetts 2568
P. O. Box 505 Conroe, Texas 77305
Hwy 119 S Partridge, Kentucky 40862
718 West Avenue Norwalk, Connecticut 6850
700 East Landis Avenue Vineland, New Jersey 08361
Hwy 18 River Road Hahnville, Louisiana 70057
Route 126 Carthage, New York 13619
P.O.Box 4511 Palestine, Texas 75802
36 Bay Shore Road West Islip, New York 11795
10 Rudsboro Road Lebanon, New Hampshire 03766
State Route 62   Box 217 Berlin, Ohio 44610
PO BOX 338 CAMERON, Missouri 64429
25W530 75th Street Naperville, Illinois 60565
201 North Central Avenue Valley Stream, New York 11580
241 E. 51st Street New York, New York 10022
P. O. Box 239 Salem, Kentucky 42078
644 1st Avenue Drive SE Taylorsville, North Carolina 28681
hwy. 11 Athena, Oregon 97813
Road City, California 92222
20 Church St. Savona, New York 14879-0387
? Ephrata, Washington 98823
303 N. Main Street Mullins, South Carolina 29574
203 Hazelwood Avenue Stonewood, West Virginia 26301
Main Street Georgetown, Texas 78628
Easy St. Luling, Louisiana 70057
N/A Sacramento, California 95838
1968 Lewis St. Rock Hill, South Carolina 29732
Dixeland Rd Rogers, Arkansas 72756
p.o.box 278 La Vernia, Texas 78121
255 Vass Road Spring Lake, North Carolina 28390
85 Lincoln Street Northborough, Massachusetts 1532
Aguinaldo hiway dasmarinas, Tennessee 4114
J.Ruiz St. Brgy. Salapan San Juan Quezon City, New York 10174
1/509 IN (ABN) Ft. Polk, Louisiana 71459
324 Wilson Avenue Carneys Point, New Jersey 08069
502 S. Lincoln Aberdeen, South Dakota 57401
Northwest Area Houston, Texas 77065
2580 North Belfast Ave. Augusta, Maine 4330
229a South Washington Ave Hendersonville, North Carolina 28739
157 Pleasant Street, PMB 160 Claremont, New Hampshire 3743
1400 Stadium Dr Bluefield, West Virginia 24701
200 E boutz rd las cruces, New Mexico 88005
McDonough Rd.. Griffin, Georgia 30223
3560 Bivona Street Bronx, New York 10475
2145 Bronson Hill Rd Avon, New York 14414
11113Highland Ave Carrollton, Kentucky 41008
684469013W 400N Kokomo, Indiana 46901
Home Town, Connecticut 6281
4338 Rives Chapel Church Rd. Siler City, North Carolina 27344
1100 Newton Road Raleigh, North Carolina 27615
P. O. Box 1114 Mountain View, Missouri 65548
Graham st Stephenville, Texas 76401
118 Main Street Barre, Massachusetts 1005
3892 raleigh rd henderson, North Carolina 27537
14th and B street Davis, California 95616
25 Geddes St Holley, New York 14470
Philadelphia Church Road Hazlehurst, Georgia 31539
281 Union Hall Road Beckley, West Virginia 25801
292 Third Street Troy, New York 12180
199 Warren Ave. Brockton, Massachusetts 2301
2919 Huffine Mill Rd Gibsonville, North Carolina 27249
3103 W. Alameda Roswell, New Mexico 33202
Hwy 19 South 2 miles Sulphur Springs, Texas 75482
620 Whiteville, North Carolina 28472
453 Main Street Poughkeepsie, New York 12601
1349 Center Rd. Yadkinville, North Carolina 27055
G-4400 W. Carpenter RD Flint, Michigan 48504
N/A Des Moines, Iowa 50320
1310 Hargett St Jacksonville, North Carolina 28546
112-14 107th Avenue Richmond Hill, New York 11419
County Rd 315 Tellico Plains, Tennessee 37385
1949 Hwy 81 S Grafton, North Dakota 58237
773 Mocksville Hwy. Statesville, North Carolina 28625
2801 Pelham Road Greenville, South Carolina 29615
Kanawha Valley Road Southside, West Virginia 25312
S 64th &amp; Cheyenne Tacoma, Washington 98405
76 Hopatcong Dr Lawrenceville, New Jersey 8648
ULTIMATE POWER GOSPEL ASSEMBLY, IBADAN NIGERIA IBADAN, Indiana NIG 01
440A Whitehorse Pike Atco, New Jersey 08004
8301 Salley Rd.  Langely, South Carolina 29834
5470 Nashfield Rd Hollywood, South Carolina 29449
2121 Washington Ave. Bronx , New York 10457
711Lake Manila, Arkansas 72442
1411 Rim Rd Fayetteville, North Carolina 28314
200 York St Camden, South Carolina 29020
Rt 209 Bushkill, Pennsylvania 18324
East Main Street Patterson, Georgia 31557
164 Union School Dr. North Wilkesboro, North Carolina 28659
Utah Utah, Utah 14564
257Penn Lake Dr. Reidsville, North Carolina 27320
5814 Surrett Drive Archdale, North Carolina 27263
N6111 Trenkolm St. Gilman, Wisconsin 54433
W266 S3867 Donald Dr Waukesha, Wisconsin 53189
online only online only, California online only
2029 W 5th St. Washington, North Carolina 27889
4128 Hwy 704 East Sandy Ridge, North Carolina 27046
18 Hickory Street Badin , North Carolina 28009
Route 1 Box 117 Meadow Bridge, West Virginia 25976
Summerfield Church Rd Colfax, Louisiana  71467
1956 Fifth Avenue Huntington, West Virginia 25703
P. O. Box 70 Pittsburg, Missouri 65724
301 E. Center St. Tucumcari, New Mexico 88401
9th avenue Meridian, Mississippi 39305
278 Chapel St Spruce Pine, North Carolina 28777
P.O. BOX 6655 San Rafael, California 94903
1575 NC 772 Hwy Pine Hall, North Carolina 27042
N/A San Antonio, Texas 78255
152 Possum Holler Pickens, South Carolina 29671
Hwy 42 Kenly, North Carolina 27591
Hollow Farm Lane Augusta, West Virginia 26704
7201 Central Ave NW Albuquerque, New Mexico 87121
pob 217 eads, Colorado 81036
5694 Woodlane Newark, New York 14513
5548 Long Ridge Road Plymouth, North Carolina 27962
S Kanawha Street Beckley, West Virginia 25801
36 Center Street Wolfeboro, New Hampshire 3894
3885 Liberty Road Gold Hill, North Carolina 28071
2201 Highmarket St Georgetown, South Carolina 29442
Flying j truck stop Okc, Oklahoma 73011
Chestnut Ave BV, Virginia 24416
105 Odell School Road Concord, North Carolina 28027
302. N bettis st. Apt b pocahontas, Arkansas 72455
10th st Killeen, Texas 76522
Hwy 98 Louisburg, North Carolina 27610
1215 Academy Street Madison, North Carolina 27025
G 3060 Miller road Flint, Michigan 48503
6427 Cliffdale Road Fayetteville, North Carolina 28314
1301 Liberty St. Parkersburg, West Virginia 26101
N/A N/A, Ohio N/A
2929 West 20th Street Brooklyn, New York 11223
PO Box 707 Waterbury, Vermont 5676
P. O. Box  270943 Dallas, Texas 75227
903 S. Beverwyck Road Parsippany, New Jersey 7054
405 East Main St. Union, South Carolina 29379
Little Eagle Holiness Chapel Mc Laughlin, South Dakota 57642
9 Cliff St. Providence, Rhode Island 02908
P. O. Box 228 Wellborn, Florida 32094
Rising Sun &amp; Magee Ave. Philadelphia, Pennsylvania 19111
191 N Hwy 41 Beulaville, North Carolina 28518
1700 North Pleasantburg Drive Greenville, South Carolina 29609
Waltair Uplands Vizag, Alabama 5300003
1410 Sunnyside Drive Columbia, South Carolina 29204
1301 W Va Ave Parkersburg, West Virginia 26101
789 Cheung Sha Wan Rd, Kowloon, HK Hong Kong, California Asia
87 Lowell Street Rochester, New Hampshire 3867
PO BOx 1177 Vineland, New Jersey 08362
p.o. box 216 milford, Illinois 60953
229 Wenonah Ave Mantua, New Jersey 9051
Home Addres Burlingame, Kansas 66413
Porter, Texas Porter, Texas 77365
Golden St. New London, Wisconsin 66604
Hwy 2 Ipava, Illinois 61441
Hwy 145 South Newport, Arkansas 72112
Main Street Statesville Statesville, Tennessee 37184
214th APO, New York 09058
Hwy 457 Alexandria, Louisiana 71301
PO Box 66 Pamplico, South Carolina 29583
PO Box 803 Lenoir, North Carolina 28645
4425 Hwy. 62N Blanch, North Carolina 27212
799 Armory Road North Wilkesboro, North Carolina 28659
POBox 98 Crestwood, Kentucky 40098
SILANG CAVITE LASPINAS, Alaska 1750
991 Upward Road Flat Rock, North Carolina 28731
PO Box Parish, New York 13131
Box 913 806 7th St hempstead, Texas 77445
1000 Johnson Ave Bridgeport, West Virginia 26330
7835 Matthews-Mint Hill Road Mint Hill , North Carolina 28227
1246 2nd St NE Hickory, North Carolina 28601
Charles Blvd Greenville, North Carolina 27858
PO BOX 562 DEVINE, Texas 78016
Union Grange #1 Corner Ketch &amp; Doe Run Hockessin, Delaware 19702
Northwest Hwy. Dallas, Texas 75218
10131 Coors Blvd NW Albuquerque, New Mexico 87114
136 wyckoff avenue waldwick, New Jersey 07453
5300 Two Notch Road Columbia, South Carolina 29204
9528 Hwy 218 E Peachland, North Carolina 28133
407 W. John J. Sharpe St. Sharpsburg, North Carolina 27878
PO Box 887 Waynesville, North Carolina 28786
None yet Marshall, Minnesota 32765
3196 Mock rd high point, North Carolina 272625
773PRICTONROAD HONEA, South Carolina 29654
3723 Sweden Walker Road Brockport, New York 14420
4N051 Glen Ellyn Rd Glendale Heights, Illinois 60139
Haygood Road Langston, Alabama 35755
75 Davenport Road Moncure, North Carolina 27559
2244 Gentry Memorial Hwy. Pickens, South Carolina 29671
Fort Polk Main Post Chapel Fort Polk, Louisiana 71459
600 South Correll St. Landis, North Carolina 28088
231 Olive St Weston, West Virginia 26452
   , New York  
1024 Old Modena Street Gastonia, North Carolina 28054
PO Box 116 Quinton, New Jersey 08072
p.o. 633 grand saline, Texas 75140
2009 Procious Maysel Road Maysel, West Virginia 25133
1077 Gumtree Rd. Winston Salem, North Carolina 27107
520 madison st Lincolnton, North Carolina 28092
1613 McGill Highway  Smyrna, SC , South Carolina 29743-8775
RR 2 BOX 654 Westville, Oklahoma 74965
Günterstalstraße Freiburg, Alabama 79100
123 Mill Neck Rd Como, North Carolina 27818
Route 1, Box 88 Vaiden, Mississippi 39176
54 Kirk Street West Orange, New Jersey 07052
PO Box 146 Kindred, North Dakota 58051
7th/main St Coupeville, Washington 98239
1222 Sandy Cross Road Reidsville, North Carolina 27320
136 Calvary Church Rd Littleton, North Carolina 27850
Church Street Bone Gap, Illinois 62815
2582 St hwy 28 Oneonta, New York 13820
P.O. Box 2340 Mount Pleasant, South Carolina 29466
250 Brookwood Road Venetia, Pennsylvania `5267
405 County Road #14 Underwood, North Dakota 58576
34th Ave Covert, Michigan 49043
83 Commonwealth Ave Scarborough, Ohio M1K 4K4
805 Self St Cherryville, North Carolina 28021
Hwy 72 E corinth, Mississippi 38834
Route 6 West Coudersport, Pennsylvania 16915
400 Godwin Ave. Midland Park, New Jersey 7432
Route 5 Farifield, Illinois 64837
9042 US Highway 311 Archdale, North Carolina 27263
386 Montauk Hwy Eastport, New York 11941
na na, Pennsylvania 15106
po Box512 Troutman, North Carolina 28166
Erin, TN Erin, Tennessee 37061
37W100 Bolcum Road St. Charles, Illinois 60175
1108 Vinson Williamson, West Virginia 25661
??? Whiteman AFB, Missouri 65305
2018 West Green Dr, High Point, North Carolina 27260
2610 Cid Road Lexington, North Carolina 27292
1720 4th Ave. NW Minot, North Dakota 58703
106 Central Avenue Hackensack, New Jersey 07601
Cavite Imus, California 90210
714 Ten Rod Road North Kingstown, Rhode Island 02893
5806 Prosperity Church Road, Suite A2-122 Charlotte, North Carolina 28269
9-11 north First Street Paterson, New Jersey 07522
600 Ridgewood Road Maplewood, New Jersey 07040
po box 2831 Cleburne, Texas 76033
92c SCHOEMAN STREET PIETERSBURG, Texas 699
Highway 68 East Hopkinsville, Kentucky 42240
HC 71 Box 777 Duck, West Virginia 25063
179 East Ferry St Buffalo, New York 14208
Coast Christian Fellowship Torrance, California 90505
173 Almond Road Pittsgrove, New Jersey 08318
Pleasure Rd Lancaster, Pennsylvania 17540
Hwy 34 Patterson, Missouri 63956
4308 3rd Ave Staten Island, New York 10314
330 Indiana Ave. Chester, West Virginia 26034
RR 3 Box 23 Curtis, Nebraska 69025
????? Summersville, Missouri 65571
N5705 Ojibway Rd Marenisco, Michigan 49947
123 jaffrey, New Hampshire 3452
35 Alden Street Springfield, Massachusetts 1109
Ky Rt 32 Flemingsburg, Kentucky 41041
Ernest Lake Charles, Louisiana 70605
hwy. 1 by pass nattchitoches, Louisiana 71457
P. O. Box 265 Mize, Mississippi 39116
100 McKinney St. Fairmont, West Virginia 26554
West Elm Lebanon, Missouri 65536
405 Pen Street Edgefield, South Carolina 29824
Po Box 5596 Brownsville, Texas 78523
218 Dunellen Ave. Dunellen, New Jersey 08812
PO Box 2965 Bluffton, South Carolina 29910
PO Box H Elkhart, Kansas 67950
3038 Dry Bone Rd Peebles, Ohio 0
PO Box 505 Germanton, North Carolina 27019
1318 Olanta Highway Effingham, South Carolina 29541
6335 Benfields Landing Rd Nebo, North Carolina 28761
7627 N State St Lowville, New York 13367
32 E 98 street brooklyn, New York 11212
127 Southwest Circle Cordova, South Carolina 29039
3838 Jericho Road Bismarck, North Dakota 58503
19362 Lowcountry Hwy. Ruffin, South Carolina 29475
163 S. Coit Street Florence, South Carolina 29501
Box E Bruin, Pennsylvania 16022
Pecan Rd Hughes Springs, Texas 75656
River Road Redfield, Arkansas 72132
203 Easyover Dr Snow Hill, North Carolina 28580
R. R. 2, Box 43A Shoals, Indiana 47581
705 RINGWOOD AVENUE WANAQUE, New Jersey 07465
101 Mauldin Lake Road Pickens, South Carolina 29671
County Road 172 Athens, Tennessee 37303
Island Road Harkers Island, North Carolina 28531
2421 Aztec Rd. NE Albuquerque, New Mexico 87107
917 N Street, N.W. Washington, District of Columbia 20001
2111 Kuser Road Trenton, New Jersey 08690
Spur 152 Beckville, Texas 75631
Jesus Saves 24 x 7  Chicago, Illinois 60403
Mount Street Battle, Alabama TN330EG
131 osborn st auburn, New York 13021
Box 277 Autryville, North Carolina 28318
1330 Herkimer Rd Utica, New York 13502
Bunker Hill Rd Birchwood, Tennessee 37308
2635 Penfield Rd. Fairport, New York 14450
405 Holmes Street Belton, South Carolina 29627
1701 Kathryn Lane Greenville, North Carolina 27834
6020 Kristy Street Farmington, New Mexico 87401
P.O. Box 1063 Statesville, North Carolina 28625
Professional Golfer's Career College 26109 Ynez Rd Temecula, California 92591
309 west Albquerque Roswell , New Mexico 88203
2332 163rd Street, Court, East,  Tacoma, Washington 98445
1816 C of C Complex  Charleston, South Carolina 29424
FM 1409 Dayton, Texas 77535
Lushnje Albania  Lushnje , Alabama al0001
2010 Brewer Road Winston Salem, North Carolina 27107
1121 23rd St NW Minot, North Dakota 58703
305 Oklahoma Place Ladson, South Carolina 29456
Pleasant Hill Road Bennett-Seagrove, North Carolina 27341
1007 E. Front St. Iva, South Carolina 29655
5 SCRAPETOWN ROAD PEMBERTON, New Jersey 08068
5th &amp; Lide Street Talco, Texas 75487
401 Hwy 301 Marion, South Carolina 29571
543 Laurel St  Lake City , South Carolina 29560-3507
930 Cadosia Road Hancock, New York 13783
N/A Chattanooga, Tennessee 37343
680 Maple Rd East Aurora, New York 14052
Undisclosed Cadiz, Kentucky 42211
Hwy. 374 West St. Joe, Arkansas 72675
515 Hwy 42 N Asheboro, North Carolina 27203
43 Atwood Road Pelham, New Hampshire 03076
5224 Avenue L Brooklyn, New York 11234
1800 Raritan Road Scotch Plains, New Jersey 07076
Rt 2 Box 200 Ardmore, Oklahoma 73401
st thoms st thomas, Virginia 802
Harlan Street Crittenden, Kentucky 41030
St Rt #33 Celina, Ohio 45822
7659 NC Highway 268 Dobson, North Carolina 27017
406 Whitt St. Groesbeck, Texas 7664
4865 Sunset Blvd Lexingtons, South Carolina 29072
700 Cooper Landing Road Cherry Hill, New Jersey 08002
n/a Hinesville, Georgia 31313
po box 1552 oakdale, Louisiana 71463
106 Front Str Falcon, North Carolina 28342
Martin Luther King Blvd. East Orange, New Jersey 07017
467 braidwood  peterborough, Alaska k9j 1v7
6521 Denver Idustrial Park Drive Denver, North Carolina 28037
2911 N. Dal Paso Hobbs, New Mexico 88240
379 State Rd 344 Edgewood, New Mexico 87015
301 Boston Rd Chelmsford, Massachusetts 1824
660 N. Van't Haaff Corsica, South Dakota 57328
535 Thompson Blvd. Watertown, New York 13601
67 Route 106 North Springfield,, Vermont 05150
Box 104 Slidell, Texas 76267
webb street Tuckerman, Arkansas 72473
241 McLean Road Cortland, New York 13045
750 Long Point Road Mount Pleasant, South Carolina 29464
P O Box 612 Wylie, Texas 75098
HWY 69 Melbourne, Arkansas 72556
1161 E. Marion Street Shelby, North Carolina 28150
P. O. Box 24388 Phoenix, Arizona 85074
7. West Jefferson P.O. Box 46 Sullivan, Illinois 61951
4038 Graham Sherron Rd Wake Forest, North Carolina 27587
P.O. Box 1419 Franklin, North Carolina 28744
P.O. Box 66 Newfane, New York 14108
sab sab, North Carolina sab
Sawmill Road Ailey, Georgia 30474
1325 Motor Road Winston-Salem, North Carolina 27105
Franklin St schenectady, New York 12305
135 Argus Dr Depew, New York 14043
Bala Chitto Rd Magnolia, Mississippi 39652
984 Fox Hollow Rd Conway, South Carolina 29526
Bat Cave Road Old Fort, North Carolina 28762
Rt 49  Jewell, New York 13042
400 W. Wendell St. Endicott, New York 13760
21 Kossman St. East Brunswick, New Jersey 08816
524 Sardis Road Gaffney, South Carolina 29340
Hathaway Blvd Sharpsburg, North Carolina 27878
9853 East NC 97 Rocky Mount, North Carolina 27803
191 Ely Fork Road Sumerco, West Virginia 25567
26 Parker Farms Road Wallingford, Connecticut 6492
1010 Park Avenue New York, New York 10028
450 Portage St Watertown, New York 13601
345 Tuskegee Airmen Blvd Grand Forks AFB, North Dakota 58205
1938 NC 56 Hwy E Louisburg, North Carolina 27549
713 Catherine St. Syracuse, New York 13203
Oak Street Saltillo, Pennsylvania 17253
Laurel City Ottawa, West Virginia 25149
P. O. Box 1586 Ratcliff, Texas 75858
Martintown Road North Augusta, South Carolina 29841
NORTHSTREET BLOUNTSTOWN, Florida 32424
26 N. Main Street  Belmont, North Carolina 28012
1806 Merritt Dr. Greensboro, North Carolina 27407
201 MLK Drive Lakewood, New Jersey 08010
Alligator Point Road Alligator Point, Florida 32346
80 Congress St. York, South Carolina 29745
5 Colonial Dr. Springville, New York 14141
Kagini Abuja, Ohio none
2965 Marion Ave Bronx, New York 10468
808 Ophir St Moncks Corner, South Carolina 29461
1003 W. Fourth St. Plainfield, New Jersey 07063
